Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Random-User-API-Performance-Test,8333,950,0,21100,886.01,0.168%,2.77735,4.24,0.36,1562.5
TOTAL,8333,950,0,21100,886.01,0.168%,2.77735,4.24,0.36,1562.5
