Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Random-User-API-Performance-Test,1666,1060,0,9261,485.74,0.000%,2.77522,4.23,0.36,1560.5
TOTAL,1666,1060,0,9261,485.74,0.000%,2.77522,4.23,0.36,1560.5
