Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Random-User-API-Performance-Test,3333,1052,0,7156,559.01,0.000%,2.77419,4.23,0.36,1560.3
TOTAL,3333,1052,0,7156,559.01,0.000%,2.77419,4.23,0.36,1560.3
