Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Random-User-API-Performance-Test,5000,2030,0,240544,5936.20,18.100%,2.77367,4.63,0.30,1710.1
TOTAL,5000,2030,0,240544,5936.20,18.100%,2.77367,4.63,0.30,1710.1
