Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Random-User-API-Performance-Test,6944,836,0,5163,141.80,0.000%,2.77727,4.23,0.36,1560.5
TOTAL,6944,836,0,5163,141.80,0.000%,2.77727,4.23,0.36,1560.5
