Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Random-User-API-Performance-Test,8333,1121,0,54820,1012.33,0.000%,2.68777,4.10,0.35,1560.6
TOTAL,8333,1121,0,54820,1012.33,0.000%,2.68777,4.10,0.35,1560.6
